Employee_ID,Age,Gender,Department,Remote_Work,Daily_Work_Hours,Screen_Time_Hours,Sleep_Quality,Physical_Activity_Level,Burnout_Score,Stress_Level,Coffee_Intake_per_Day,Meeting_Hours_per_Day,Internet_Speed_MBPS,Device_Type,Noise_Level,Mood,Commute_Hours_PreRemote,Work_Engagement_Score,Weekly_Mental_Breaks
E004,52,M,Sales,nan,4.0,10.5 hrs,Fair,Low,5.41,Medium,,5.0,100.0,Laptop,nan,nan,,4.67,1.0
E003,44,M,Admin,No,8.0,6 hrs,Poor,nan,6.61,nan,,5.0,100.0,Desktop,High,Calm,2.0,5.12,3.0
E002,47,Female,it,Yes,6.0,8,Poor,nan,4.07,Medium,1.0,5.0,150.0,nan,High,Tired,0.0,5.38,2.0
E005,46,M,IT,no,6.0,nan,Poor,Low,2.01,Medium,2.0,5.0,150.0,Laptop,Low,Stressed,0.0,4.76,3.0
E003,38,Female,it,yes,4.0,10.5 hrs,nan,Medium,7.74,Medium,4.0,4.0,150.0,Desktop,High,Happy,5.0,4.61,
E005,36,nan,Admin,yes,,8,nan,Medium,3.05,High,1.0,1.0,10.0,Laptop,Medium,Calm,,4.26,5.0
E003,25,Male,it,Yes,6.0,6 hrs,Good,Low,4.51,Medium,2.0,6.0,150.0,Desktop,Medium,Calm,3.0,8.8,
E003,43,Female,nan,No,8.0,7,Poor,Medium,5.11,High,4.0,2.0,10.0,Desktop,Low,Calm,3.0,7.36,4.0
E006,38,male,IT,no,,8,Fair,High,4.8,Low,1.0,1.0,20.0,nan,Low,Calm,5.0,8.5,3.0
E006,43,FEMALE,IT,yes,4.0,7,Fair,nan,2.18,Medium,1.0,4.0,50.0,Mobile,Medium,nan,5.0,8.9,1.0
E005,38,FEMALE,it,yes,6.0,7,Fair,Medium,6.72,nan,3.0,,100.0,nan,Medium,Tired,4.0,1.3,
E001,35,F,hr,No,6.0,10.5 hrs,nan,High,-0.64,Low,,,10.0,Laptop,Medium,Calm,,6.69,1.0
E002,35,male,nan,nan,8.0,nan,nan,High,6.96,Low,4.0,5.0,50.0,Desktop,Low,Calm,4.0,4.83,2.0
E001,38,Female,hr,Yes,6.0,6 hrs,Poor,High,7.31,Medium,3.0,,,nan,Medium,Calm,2.0,8.23,3.0
E001,29,male,it,No,8.0,6 hrs,Fair,High,6.81,High,1.0,4.0,150.0,Desktop,Low,Stressed,3.0,4.52,
E006,47,F,hr,No,12.0,8,Fair,High,4.39,Low,1.0,6.0,100.0,nan,Medium,Stressed,4.0,3.89,1.0
E002,51,M,IT,No,,6 hrs,nan,Low,5.26,Medium,2.0,6.0,,Laptop,Medium,Happy,2.0,3.13,0.0
E006,43,Female,IT,No,8.0,10.5 hrs,nan,nan,3.66,Low,3.0,4.0,10.0,Laptop,High,Tired,1.0,5.39,1.0
E006,37,nan,hr,nan,10.0,6 hrs,Fair,nan,5.14,Low,0.0,,150.0,Laptop,Medium,Calm,2.0,7.83,4.0
E006,51,male,IT,no,6.0,8,Fair,Low,6.26,Medium,4.0,1.0,50.0,nan,Low,Happy,,6.51,0.0
E004,37,M,HR,No,12.0,6 hrs,Good,Low,2.81,nan,,2.0,20.0,Mobile,Medium,Happy,4.0,3.59,3.0
E001,45,F,IT,No,,nan,nan,High,4.73,nan,3.0,3.0,50.0,Laptop,nan,Tired,,10.31,5.0
E001,27,M,it,Yes,4.0,7,Poor,Medium,4.05,nan,1.0,3.0,10.0,nan,High,Stressed,2.0,7.3,2.0
E001,25,Female,Sales,yes,10.0,7,Poor,nan,7.35,Low,2.0,6.0,20.0,Mobile,Medium,Tired,,7.55,0.0
E004,39,F,hr,nan,4.0,7,Fair,Medium,3.12,High,4.0,2.0,20.0,nan,Medium,Happy,,8.57,1.0
E003,27,F,nan,No,10.0,nan,nan,nan,6.25,High,,5.0,150.0,nan,nan,Tired,1.0,2.72,
E005,47,F,Admin,no,12.0,10.5 hrs,Poor,High,4.89,Low,4.0,4.0,50.0,Laptop,nan,Stressed,4.0,4.18,
E005,48,Male,hr,no,,8,nan,Medium,4.75,Low,2.0,,10.0,Mobile,nan,Happy,2.0,7.65,2.0
E004,32,F,Admin,no,12.0,nan,Fair,nan,6.31,Medium,1.0,5.0,,nan,nan,Tired,4.0,4.38,5.0
E001,37,Male,Admin,Yes,12.0,8,Fair,nan,4.23,High,,6.0,,nan,nan,Calm,5.0,5.45,5.0
E005,40,M,IT,no,10.0,10.5 hrs,Fair,High,5.21,Low,0.0,4.0,20.0,nan,nan,Calm,5.0,5.84,2.0
E004,36,nan,IT,Yes,8.0,nan,nan,Medium,7.22,nan,2.0,3.0,150.0,nan,Medium,Tired,2.0,3.45,2.0
E006,47,Male,Sales,nan,,6 hrs,Poor,High,3.45,High,0.0,6.0,,Laptop,Low,Tired,0.0,5.28,2.0
E002,52,M,Sales,no,4.0,10.5 hrs,Good,Medium,5.54,Low,3.0,6.0,20.0,nan,Medium,Stressed,4.0,7.83,3.0
E005,40,Male,nan,yes,8.0,7,Poor,Medium,6.76,Medium,4.0,2.0,50.0,Mobile,Medium,Happy,4.0,7.46,3.0
E002,45,M,it,No,8.0,nan,nan,nan,5.93,Medium,,1.0,,Desktop,Medium,Tired,5.0,8.23,3.0
E001,30,M,HR,nan,6.0,10.5 hrs,Poor,Low,7.56,High,1.0,6.0,100.0,Mobile,High,Happy,5.0,8.02,
E005,44,nan,it,yes,4.0,10.5 hrs,Good,Medium,4.76,nan,0.0,1.0,10.0,nan,Low,Calm,,6.81,1.0
E004,25,F,nan,nan,10.0,nan,Poor,Medium,6.34,High,1.0,2.0,100.0,nan,Low,Happy,4.0,6.65,3.0
E003,31,nan,hr,no,6.0,7,Good,High,7.21,Low,3.0,6.0,50.0,Mobile,High,nan,4.0,6.51,2.0
E005,30,nan,IT,nan,6.0,7,nan,Medium,1.62,nan,0.0,,100.0,Desktop,Low,Stressed,5.0,4.75,0.0
E005,40,F,it,nan,12.0,10.5 hrs,Fair,Medium,4.19,Low,1.0,6.0,50.0,Laptop,High,Stressed,2.0,3.94,0.0
E005,36,M,Admin,nan,10.0,8,Good,Medium,5.76,nan,1.0,3.0,50.0,Desktop,Medium,Happy,3.0,4.62,5.0
E005,40,F,IT,Yes,8.0,10.5 hrs,nan,Medium,6.84,nan,3.0,4.0,150.0,Desktop,Low,Stressed,,5.35,0.0
E004,42,M,IT,yes,,nan,Fair,Medium,5.49,Low,2.0,,100.0,Desktop,Medium,Happy,2.0,4.69,0.0
E004,38,F,it,no,8.0,nan,Good,Low,7.79,High,,1.0,20.0,Mobile,nan,Happy,1.0,6.83,0.0
E003,39,FEMALE,it,No,8.0,nan,Fair,nan,3.93,Medium,3.0,3.0,50.0,Desktop,Medium,Calm,0.0,6.4,5.0
E004,38,Male,Admin,no,12.0,7,Poor,Medium,2.53,nan,0.0,,100.0,Laptop,Low,Happy,2.0,6.62,4.0
E004,23,nan,Admin,no,8.0,6 hrs,nan,High,6.59,nan,0.0,6.0,20.0,nan,Medium,Stressed,2.0,6.7,
E001,22,M,Sales,Yes,4.0,nan,nan,High,4.77,Medium,4.0,2.0,10.0,Mobile,Medium,nan,4.0,8.39,0.0
E001,31,male,nan,Yes,8.0,nan,nan,Medium,3.32,High,1.0,5.0,20.0,Mobile,High,Tired,,5.98,0.0
E002,26,F,nan,nan,8.0,8,nan,Medium,8.42,Medium,,3.0,100.0,Desktop,Low,Stressed,1.0,8.02,0.0
E003,33,F,Admin,no,4.0,8,Good,Medium,6.49,High,0.0,3.0,100.0,nan,Medium,nan,,7.03,
E001,52,Female,HR,yes,12.0,10.5 hrs,Poor,Low,6.3,nan,2.0,5.0,20.0,nan,High,Stressed,4.0,8.26,5.0
E003,30,male,Admin,Yes,6.0,10.5 hrs,Fair,nan,8.19,nan,2.0,6.0,20.0,nan,Low,nan,5.0,9.23,1.0
E003,47,male,Sales,Yes,10.0,10.5 hrs,nan,High,4.23,Low,3.0,3.0,,Mobile,nan,Stressed,,7.15,4.0
E005,36,nan,HR,yes,12.0,nan,nan,Low,7.83,High,0.0,1.0,50.0,Laptop,Medium,Tired,4.0,6.21,
E006,37,FEMALE,it,Yes,8.0,8,Good,Low,5.84,Medium,,6.0,100.0,nan,Medium,Calm,3.0,6.19,0.0
E006,34,Male,nan,yes,6.0,10.5 hrs,Good,Medium,3.82,High,,1.0,50.0,Mobile,Medium,Calm,0.0,5.06,5.0
E006,46,FEMALE,nan,No,10.0,8,Good,nan,4.99,High,0.0,1.0,50.0,Desktop,Medium,Tired,3.0,4.99,5.0
E003,51,Male,HR,yes,10.0,nan,Poor,Medium,5.37,High,4.0,3.0,10.0,nan,Medium,Stressed,4.0,7.8,3.0
E005,28,M,hr,No,10.0,nan,Fair,High,7.23,High,4.0,6.0,100.0,Desktop,nan,nan,0.0,4.07,
E002,25,nan,Sales,nan,4.0,10.5 hrs,Poor,nan,2.3,Medium,4.0,3.0,50.0,nan,nan,Happy,2.0,9.23,
E002,51,FEMALE,Sales,nan,4.0,nan,nan,Medium,1.5,Low,0.0,3.0,10.0,Desktop,Low,Stressed,,5.7,1.0
E006,31,Female,Sales,Yes,6.0,nan,Good,High,3.42,nan,3.0,6.0,,Mobile,Low,Tired,1.0,11.72,5.0
E002,51,Male,nan,yes,8.0,8,nan,Low,4.86,Medium,,6.0,50.0,Desktop,High,Calm,3.0,4.61,5.0
E005,28,FEMALE,IT,Yes,6.0,6 hrs,Fair,High,6.43,Medium,3.0,6.0,50.0,Mobile,High,Calm,1.0,6.5,4.0
E006,45,nan,nan,yes,8.0,7,Fair,High,4.08,nan,3.0,,,Desktop,High,Stressed,4.0,5.3,3.0
E005,41,Female,IT,Yes,12.0,10.5 hrs,Poor,High,5.83,Low,3.0,6.0,100.0,Desktop,nan,nan,0.0,4.41,3.0
E002,53,nan,nan,nan,10.0,6 hrs,Poor,nan,8.21,Medium,2.0,2.0,20.0,Desktop,Low,Tired,5.0,8.13,1.0
E006,47,male,it,nan,10.0,10.5 hrs,Good,Low,1.6,nan,0.0,6.0,,nan,Low,Tired,,3.79,5.0
E005,47,F,nan,Yes,4.0,6 hrs,Good,nan,4.73,Low,1.0,5.0,20.0,Laptop,nan,nan,,4.65,3.0
E004,33,M,it,yes,12.0,nan,nan,Low,9.84,Low,0.0,6.0,100.0,Laptop,Low,nan,2.0,7.17,2.0
E004,54,nan,IT,no,,10.5 hrs,Good,Medium,3.58,High,3.0,3.0,20.0,nan,Medium,Stressed,0.0,7.49,1.0
E005,35,M,Sales,yes,12.0,6 hrs,Good,Medium,3.37,Medium,2.0,5.0,150.0,Desktop,Low,Stressed,5.0,3.22,1.0
E005,54,nan,IT,Yes,8.0,7,nan,High,6.04,Low,2.0,,20.0,Desktop,Low,Calm,1.0,7.16,2.0
E001,45,male,HR,yes,12.0,nan,Fair,High,3.94,Medium,0.0,4.0,,nan,Medium,Calm,1.0,6.26,1.0
E001,36,nan,Sales,No,4.0,10.5 hrs,Good,nan,7.15,nan,1.0,1.0,50.0,Mobile,High,nan,2.0,4.16,3.0
E003,52,nan,nan,yes,8.0,10.5 hrs,Good,Low,9.95,Medium,3.0,2.0,50.0,Mobile,High,Happy,5.0,4.42,3.0
E006,38,FEMALE,nan,nan,6.0,6 hrs,nan,Low,5.15,Low,2.0,5.0,10.0,nan,High,Happy,5.0,1.93,
E003,33,F,nan,nan,8.0,10.5 hrs,nan,Low,10.48,nan,3.0,,,Laptop,nan,Happy,2.0,9.43,3.0
E003,43,male,nan,No,6.0,nan,nan,High,4.09,nan,3.0,1.0,100.0,Mobile,Medium,Tired,0.0,8.03,2.0
E002,44,Female,nan,yes,,8,nan,High,4.66,High,,2.0,10.0,nan,Medium,Stressed,3.0,3.42,
E004,47,F,IT,no,8.0,6 hrs,nan,Low,3.08,nan,3.0,6.0,50.0,Mobile,nan,nan,0.0,7.6,3.0
E002,35,Male,Admin,yes,10.0,7,Good,High,4.1,Low,4.0,,50.0,nan,Medium,Calm,,4.85,2.0
E006,33,FEMALE,it,nan,,10.5 hrs,Poor,Low,4.52,High,,1.0,10.0,Mobile,Low,Happy,1.0,7.83,2.0
E005,25,F,Admin,nan,6.0,nan,Poor,nan,5.83,Low,3.0,,,Mobile,High,Calm,0.0,5.01,2.0
E001,34,Male,IT,Yes,4.0,10.5 hrs,Poor,Medium,2.51,Low,3.0,3.0,150.0,nan,Medium,Stressed,4.0,5.27,
E006,39,male,hr,nan,,7,Good,Low,3.96,High,1.0,3.0,20.0,Laptop,Medium,nan,0.0,5.42,1.0
E005,49,nan,Admin,Yes,,nan,Fair,High,4.02,High,,6.0,150.0,Laptop,High,Happy,,4.69,4.0
E006,40,M,IT,nan,,7,Good,nan,6.79,Medium,,1.0,150.0,Mobile,nan,Happy,0.0,8.8,5.0
E005,24,F,Sales,nan,6.0,nan,Poor,High,5.23,Low,1.0,6.0,150.0,Mobile,High,nan,5.0,7.8,2.0
E001,40,F,nan,no,6.0,8,Poor,High,5.23,Medium,4.0,6.0,,Laptop,nan,Calm,,6.22,3.0
E005,41,Male,IT,Yes,8.0,nan,nan,High,5.17,nan,,2.0,150.0,nan,nan,Stressed,,8.05,2.0
E003,46,Male,Admin,Yes,10.0,7,nan,Low,1.51,nan,4.0,1.0,20.0,Desktop,Low,Stressed,4.0,2.75,5.0
E006,32,M,it,nan,,6 hrs,nan,nan,8.21,Medium,3.0,4.0,100.0,Mobile,High,Stressed,1.0,3.54,0.0
E001,38,Male,Admin,Yes,8.0,8,Good,Low,3.15,High,2.0,6.0,10.0,Desktop,Medium,Calm,2.0,6.95,1.0
E005,35,Male,nan,nan,8.0,10.5 hrs,Fair,Medium,6.78,nan,2.0,2.0,150.0,Mobile,nan,Calm,0.0,7.47,3.0
E003,40,F,Admin,nan,10.0,8,Fair,Low,4.55,High,0.0,2.0,150.0,Laptop,Low,Happy,3.0,6.56,1.0
E003,24,M,HR,yes,8.0,8,nan,Medium,3.78,Medium,2.0,1.0,10.0,nan,High,Calm,5.0,2.23,1.0
E004,43,M,hr,Yes,10.0,10.5 hrs,Fair,nan,7.09,High,2.0,5.0,10.0,Mobile,nan,Tired,5.0,3.88,0.0
E003,48,nan,Sales,No,4.0,nan,Poor,nan,2.61,Low,1.0,,100.0,Desktop,Low,nan,2.0,6.83,2.0
E002,42,F,it,Yes,10.0,8,Poor,Low,2.78,nan,0.0,6.0,50.0,Laptop,Medium,Calm,3.0,10.85,3.0
E001,52,nan,hr,Yes,12.0,8,nan,Low,5.31,High,0.0,6.0,100.0,Mobile,nan,Stressed,0.0,8.44,4.0
E001,48,male,IT,no,10.0,6 hrs,nan,High,5.37,High,1.0,1.0,50.0,nan,nan,Calm,3.0,9.15,1.0
E001,23,male,hr,No,10.0,6 hrs,nan,Medium,6.64,Low,2.0,5.0,,Mobile,Medium,Happy,5.0,6.68,5.0
E005,30,F,nan,No,12.0,7,Fair,High,6.43,High,2.0,2.0,20.0,nan,Medium,nan,2.0,6.66,4.0
E006,40,Male,nan,no,10.0,10.5 hrs,Good,High,4.86,Medium,0.0,,100.0,nan,Medium,nan,3.0,3.93,4.0
E005,31,FEMALE,HR,no,6.0,nan,nan,nan,5.21,Medium,2.0,3.0,20.0,Laptop,nan,Stressed,3.0,7.9,
E002,28,male,hr,Yes,8.0,nan,Fair,Low,4.71,Medium,0.0,6.0,10.0,Mobile,Low,nan,2.0,5.85,2.0
E006,25,male,Admin,yes,8.0,7,nan,nan,7.84,nan,2.0,3.0,100.0,nan,Low,Tired,,7.39,4.0
E003,36,F,hr,no,4.0,nan,Good,Low,3.04,High,3.0,,,Laptop,Medium,nan,2.0,6.06,3.0
E005,33,nan,nan,No,4.0,nan,nan,nan,5.06,nan,1.0,6.0,10.0,Mobile,Low,Stressed,2.0,6.56,2.0
E006,27,F,IT,No,12.0,6 hrs,Poor,nan,6.54,nan,,,,nan,Medium,nan,5.0,5.82,5.0
E003,30,FEMALE,IT,Yes,6.0,nan,nan,nan,7.22,High,4.0,1.0,,Laptop,Medium,Calm,2.0,6.45,4.0
E006,29,FEMALE,Sales,yes,4.0,nan,Poor,Medium,3.66,High,3.0,6.0,150.0,Mobile,High,Happy,4.0,8.0,2.0
E003,28,M,Admin,nan,8.0,7,Poor,nan,3.06,Medium,2.0,5.0,10.0,nan,Low,Calm,0.0,3.47,3.0
E006,25,F,Admin,no,4.0,7,Fair,Medium,2.52,nan,4.0,6.0,,Laptop,nan,Tired,5.0,3.01,1.0
E005,34,male,IT,no,4.0,8,Fair,nan,4.31,nan,,1.0,150.0,Laptop,High,Tired,,6.85,0.0
E005,40,nan,hr,Yes,10.0,nan,Poor,Low,5.51,High,3.0,,50.0,Mobile,Medium,Happy,2.0,8.88,2.0
E002,28,nan,HR,yes,4.0,nan,Poor,Medium,4.06,nan,,4.0,150.0,Laptop,High,Happy,1.0,9.39,5.0
E004,31,Female,IT,No,12.0,nan,nan,Low,6.4,Low,1.0,1.0,50.0,Mobile,Medium,Happy,3.0,3.55,0.0
E001,46,Female,Admin,No,8.0,6 hrs,nan,Low,4.87,High,4.0,1.0,150.0,Mobile,Medium,Happy,2.0,5.19,
E005,46,Male,Admin,nan,12.0,nan,Poor,Low,6.22,Medium,,1.0,150.0,nan,Medium,nan,2.0,3.04,1.0
E005,50,male,nan,No,12.0,6 hrs,Fair,Medium,5.29,Low,4.0,1.0,20.0,Mobile,Low,Calm,0.0,4.9,5.0
E003,33,Female,nan,no,,8,nan,High,1.63,Low,1.0,5.0,20.0,Laptop,Medium,Tired,2.0,8.25,3.0
E004,33,nan,Sales,nan,6.0,10.5 hrs,nan,Medium,2.7,Medium,,6.0,10.0,Mobile,Medium,nan,5.0,5.97,5.0
E005,27,male,Sales,yes,,nan,nan,High,7.31,Low,3.0,5.0,,nan,Low,Happy,4.0,5.25,1.0
E006,31,F,hr,nan,,7,Fair,Medium,3.13,Low,4.0,5.0,20.0,Laptop,Low,Stressed,1.0,7.09,0.0
E004,23,male,IT,yes,10.0,7,Poor,nan,6.7,Low,,4.0,50.0,nan,Medium,Stressed,1.0,4.41,3.0
E001,46,Female,IT,No,12.0,nan,nan,High,5.25,nan,1.0,4.0,20.0,Desktop,Low,Calm,,9.19,5.0
E006,28,nan,Sales,Yes,6.0,6 hrs,Fair,nan,3.03,Low,,6.0,10.0,nan,nan,Tired,2.0,6.01,4.0
E003,44,male,IT,nan,8.0,7,Fair,High,6.5,Low,,6.0,100.0,Desktop,nan,Tired,0.0,5.2,4.0
E002,32,FEMALE,hr,nan,8.0,7,Fair,Medium,4.04,High,3.0,,50.0,Desktop,Medium,Calm,5.0,7.17,2.0
E006,44,Male,HR,no,6.0,8,Fair,Medium,5.3,Medium,2.0,1.0,100.0,Mobile,High,Happy,5.0,7.88,4.0
E001,28,M,nan,no,12.0,8,nan,High,4.58,nan,0.0,5.0,50.0,Laptop,Low,Happy,2.0,9.19,5.0
E006,48,nan,hr,yes,12.0,8,Poor,nan,-0.41,nan,2.0,4.0,,Mobile,High,Tired,3.0,5.58,0.0
E004,34,Female,IT,Yes,10.0,7,Poor,Low,6.35,Medium,2.0,3.0,,Laptop,nan,Tired,5.0,8.17,4.0
E004,38,F,hr,no,10.0,7,Fair,High,6.53,nan,0.0,1.0,,nan,Medium,Tired,5.0,6.2,2.0
E001,53,M,nan,no,,nan,Poor,High,4.01,nan,,,10.0,Desktop,nan,Happy,5.0,4.78,3.0
E004,47,Male,it,No,8.0,nan,nan,nan,6.28,nan,2.0,2.0,20.0,Desktop,Low,Stressed,1.0,4.45,4.0
E006,43,nan,Admin,No,10.0,6 hrs,Poor,Low,3.26,High,2.0,5.0,100.0,Desktop,Low,Calm,5.0,3.81,2.0
E002,34,nan,nan,no,6.0,7,Poor,High,3.3,High,1.0,1.0,100.0,nan,Medium,Calm,3.0,4.52,4.0
E006,33,FEMALE,Admin,yes,8.0,nan,Good,Low,5.48,nan,1.0,6.0,20.0,nan,Low,nan,4.0,8.23,
E002,28,FEMALE,nan,Yes,12.0,nan,Poor,Low,3.61,Medium,3.0,1.0,10.0,Mobile,Low,nan,1.0,7.41,4.0
E004,22,FEMALE,it,no,8.0,8,Poor,Medium,4.74,Medium,4.0,2.0,20.0,Mobile,Low,Stressed,1.0,3.52,5.0
E006,54,FEMALE,IT,yes,4.0,8,Fair,nan,3.12,High,,6.0,150.0,Laptop,High,Tired,4.0,2.51,0.0
E004,35,Female,IT,yes,8.0,8,Fair,High,2.43,High,3.0,3.0,150.0,Laptop,Medium,Stressed,3.0,3.78,2.0
E002,38,nan,HR,no,10.0,10.5 hrs,Good,High,5.42,Low,1.0,4.0,,Desktop,Medium,nan,2.0,4.45,2.0
E004,25,Female,nan,yes,6.0,nan,nan,Low,5.43,High,1.0,4.0,150.0,nan,Medium,nan,,5.39,1.0
E005,22,male,hr,nan,12.0,8,Good,High,5.04,nan,0.0,2.0,100.0,nan,Low,Calm,0.0,8.35,1.0
E003,45,F,HR,yes,12.0,8,Poor,Low,4.42,High,0.0,,,Mobile,Low,Stressed,3.0,4.9,2.0
E006,45,male,IT,no,10.0,7,Poor,High,3.59,Low,1.0,2.0,100.0,Mobile,Low,Happy,4.0,9.36,5.0
E005,36,F,IT,yes,10.0,8,nan,nan,2.84,Low,2.0,,10.0,Laptop,Medium,nan,,2.64,0.0
E004,38,Male,Sales,no,10.0,7,nan,High,2.76,Medium,3.0,,50.0,Laptop,High,Calm,5.0,5.3,4.0
E004,34,male,HR,No,4.0,6 hrs,Fair,Low,3.79,Medium,1.0,4.0,20.0,Mobile,nan,Tired,5.0,7.57,3.0
E003,28,Male,IT,no,6.0,8,Poor,Low,7.04,nan,,3.0,50.0,Mobile,Medium,Stressed,4.0,7.69,5.0
E004,30,Male,it,yes,4.0,7,Poor,High,5.46,High,1.0,3.0,100.0,nan,Medium,nan,5.0,5.33,4.0
E003,44,Male,Admin,no,10.0,8,Poor,High,5.72,Low,0.0,1.0,20.0,Laptop,High,Happy,4.0,8.0,3.0
E006,44,FEMALE,Sales,Yes,6.0,6 hrs,Poor,Low,2.49,Low,3.0,2.0,100.0,Mobile,nan,nan,,7.62,0.0
E002,47,M,hr,no,10.0,8,Poor,Medium,5.37,Medium,3.0,2.0,10.0,Mobile,nan,Happy,1.0,4.64,1.0
E003,22,M,Admin,no,6.0,7,Poor,Medium,5.67,Medium,4.0,2.0,,Desktop,Low,Stressed,2.0,6.63,2.0
E003,35,Female,Sales,Yes,12.0,6 hrs,Poor,High,8.17,High,1.0,6.0,20.0,Mobile,nan,Happy,1.0,7.41,0.0
E005,53,Male,nan,Yes,4.0,6 hrs,Poor,nan,4.96,Low,4.0,4.0,100.0,Mobile,Low,Happy,1.0,4.78,3.0
E004,31,FEMALE,nan,Yes,,6 hrs,Fair,High,4.21,Medium,0.0,4.0,150.0,nan,Medium,Calm,1.0,9.39,5.0
E006,22,male,hr,nan,10.0,10.5 hrs,Good,nan,3.47,High,4.0,4.0,150.0,Mobile,High,Stressed,4.0,4.33,2.0
E002,26,male,it,no,10.0,7,Poor,High,5.12,High,2.0,3.0,100.0,Laptop,Medium,nan,3.0,6.29,3.0
E001,24,Female,hr,Yes,8.0,10.5 hrs,Fair,Low,4.61,High,1.0,4.0,50.0,Desktop,nan,Tired,,3.5,4.0
E003,48,Female,HR,Yes,,6 hrs,Poor,High,7.24,Medium,1.0,1.0,,nan,Medium,Stressed,0.0,6.21,4.0
E001,43,Male,Admin,No,12.0,10.5 hrs,nan,nan,6.8,Medium,3.0,6.0,10.0,Laptop,High,Stressed,0.0,3.87,5.0
E004,39,Male,hr,nan,10.0,8,Poor,nan,3.01,Medium,4.0,4.0,10.0,Desktop,High,Tired,2.0,5.41,4.0
E003,37,male,hr,no,4.0,10.5 hrs,Good,High,4.96,nan,3.0,6.0,100.0,Desktop,Low,nan,2.0,2.83,2.0
E001,23,male,Sales,yes,12.0,nan,Fair,High,9.89,nan,,6.0,10.0,Mobile,Medium,Calm,4.0,7.6,1.0
E005,34,male,it,nan,10.0,6 hrs,nan,Medium,2.07,nan,4.0,3.0,20.0,Desktop,High,nan,0.0,6.71,1.0
E001,37,male,hr,nan,4.0,6 hrs,nan,High,4.63,Medium,4.0,2.0,10.0,Desktop,High,Tired,3.0,8.17,3.0
E005,29,M,HR,No,8.0,7,Poor,High,6.5,Medium,0.0,6.0,150.0,Mobile,High,nan,4.0,5.3,1.0
E002,29,Male,Sales,no,8.0,8,Good,Low,4.52,nan,4.0,1.0,100.0,nan,High,Stressed,2.0,8.27,1.0
E004,31,Male,it,no,4.0,7,Good,nan,4.36,Low,3.0,3.0,20.0,Mobile,nan,Calm,4.0,6.08,3.0
E006,54,male,it,Yes,12.0,10.5 hrs,Poor,Medium,4.06,Low,,5.0,10.0,nan,Medium,Happy,2.0,6.23,3.0
E001,52,FEMALE,IT,Yes,4.0,nan,Poor,Low,2.87,Low,4.0,6.0,150.0,Desktop,Medium,nan,0.0,10.23,3.0
E003,33,male,nan,nan,,nan,Fair,High,4.66,Low,4.0,,,Laptop,Medium,Happy,,5.03,2.0
E004,30,F,Admin,No,4.0,nan,Fair,nan,7.05,nan,1.0,6.0,50.0,nan,nan,Calm,4.0,8.45,
E001,30,nan,HR,no,8.0,nan,Poor,High,2.46,High,1.0,2.0,10.0,nan,nan,Happy,1.0,6.96,3.0
E003,39,nan,nan,No,8.0,8,Poor,High,5.53,High,,4.0,150.0,nan,High,nan,5.0,4.86,2.0
E003,51,Female,Sales,yes,8.0,10.5 hrs,nan,High,7.16,Low,1.0,3.0,,nan,nan,Tired,,3.37,2.0
E006,53,F,Sales,no,,nan,Good,High,4.96,Medium,2.0,5.0,,Desktop,Low,Stressed,2.0,3.93,2.0
E006,44,FEMALE,HR,Yes,10.0,6 hrs,Fair,nan,4.16,Low,1.0,3.0,150.0,Laptop,nan,Stressed,1.0,8.26,
E003,32,Female,it,nan,,10.5 hrs,Poor,Low,6.35,Low,2.0,4.0,150.0,nan,High,Happy,2.0,9.47,3.0
E006,41,nan,hr,No,10.0,8,Poor,High,3.2,High,,3.0,150.0,Laptop,Medium,Stressed,,6.18,1.0
E003,40,FEMALE,HR,Yes,,nan,Fair,High,5.84,Medium,2.0,5.0,50.0,Desktop,nan,Stressed,1.0,6.29,5.0
E001,47,Female,Sales,nan,6.0,8,nan,Medium,4.67,High,,3.0,100.0,nan,Medium,Tired,0.0,7.55,5.0
E002,31,male,nan,Yes,10.0,nan,nan,Medium,5.13,Medium,3.0,1.0,150.0,Laptop,Medium,Happy,,6.15,
E006,45,male,Admin,no,12.0,6 hrs,Poor,nan,8.35,nan,1.0,1.0,100.0,nan,Low,Tired,,8.2,1.0
E005,34,FEMALE,HR,No,12.0,10.5 hrs,Good,High,7.31,High,4.0,4.0,,nan,Low,Tired,0.0,6.58,
E005,50,Female,it,yes,8.0,6 hrs,Good,High,7.96,nan,0.0,,50.0,Desktop,nan,Calm,3.0,6.27,3.0
E005,28,M,Admin,Yes,,nan,Poor,High,3.36,nan,4.0,,,nan,Medium,Happy,3.0,4.6,1.0
E002,51,FEMALE,Admin,No,4.0,7,Fair,nan,2.96,Low,1.0,5.0,50.0,Laptop,High,Tired,3.0,4.11,
E003,38,FEMALE,Admin,no,8.0,10.5 hrs,Good,nan,5.93,Medium,4.0,5.0,,Laptop,Medium,nan,4.0,-0.32,3.0
E003,34,F,IT,Yes,4.0,8,Fair,High,5.65,High,1.0,5.0,20.0,Desktop,Medium,Stressed,,8.47,
E004,45,Male,Admin,no,,nan,Fair,High,1.05,Low,1.0,5.0,20.0,Mobile,Low,Happy,2.0,5.71,2.0
E005,52,FEMALE,IT,yes,8.0,6 hrs,Fair,nan,5.68,High,4.0,5.0,150.0,Mobile,Low,Calm,4.0,5.2,4.0
E005,48,M,hr,yes,8.0,7,nan,High,9.09,nan,2.0,,100.0,Desktop,Low,Tired,3.0,2.1,0.0
